station,yday,mean_temp,mean_do,mean_salinity
QU39,49,7.21807,6.360116666666666,28.259543333333333
QU39,57,7.134516666666666,6.431996666666667,28.051053333333332
QU39,66,7.2323466666666665,6.56269,28.333306666666665
QU39,72,7.44244,6.155783333333333,28.62649
QU39,78,8.088146666666667,5.871406666666666,29.244876666666666
QU39,108,9.33769,5.20568,29.717773333333334
QU39,120,10.393193333333333,6.93168,29.288286666666668
QU39,135,11.62632258064516,6.681609677419355,28.103664516129033
QU39,163,13.2615,5.695616666666667,27.45117
QU39,169,13.56176,5.54695,26.913843333333332
QU39,177,12.09719,4.4289266666666665,27.50936
